User ID,Organization ID,Organization Type,Country,State,NGSS Status,Grade level,Sign up date,Activation date,Full Trial expiry date,Quote created?
2085,332878,School,United States,Rhode Island,,4,2014-08-30,2014-08-30,2016-06-30,False
6542,351294,School,United States,Georgia,,"3, 5",2014-10-21,2014-10-21,2016-06-30,False
7670,12476,School,United States,Florida,,"K, 1, 2",2014-09-15,2014-09-15,2016-06-30,False
8102,10609,School,,,,6,2014-08-30,2014-08-30,2016-06-30,False
9148,345365,School,United States,Maryland,,5,2014-10-21,2014-10-21,2016-06-30,False
9417,342798,School,,,,2,,,2016-06-30,False
10604,364925,School,,,,4,,,2016-06-30,False
13607,352134,School,United States,Georgia,,"5, Upper",2014-09-15,2014-09-15,2016-06-30,False
15098,360295,School,,,,,,,2016-06-30,False
15785,14250,School,Australia,South Australia,,"3, 5",2014-08-29,2014-08-29,2016-06-30,False
17216,360438,School,United States,Kentucky,transitioning,3,2016-01-03,2016-01-03,2016-06-30,False
26893,627,School,United States,California,yes,"K, 5",2014-10-07,2014-10-07,2016-06-30,True
27867,1291,District,United States,California,,Upper,2014-09-14,2014-09-14,2016-06-30,False
27871,1291,District,United States,California,,3,2014-09-14,2014-09-14,2016-06-30,False
27872,1291,District,,,,Upper,,,2016-06-30,False
27998,1291,District,United States,California,,Upper,2014-08-31,2014-08-31,2016-06-30,False
28189,1291,District,United States,California,,3,2014-08-29,2014-08-29,2016-06-30,False
28246,1291,District,,,,Upper,,,2016-06-30,False
79535,364602,School,United States,Indiana,,4,2014-09-15,2014-09-15,2018-06-30,False
191567,16451,School,United States,Florida,,5,2014-10-29,2014-10-29,2016-06-30,False
238117,2751,School,United States,Washington,,4,2014-11-16,2014-11-16,2016-06-30,False
276104,3444,School,United States,Georgia,,"K, 1, 2, 3, 4, 5, Upper, Upper, Upper",2015-01-05,2015-01-05,2016-06-30,True
414892,38065,School,,,,"1, 2, 3, 4",2015-01-22,2015-01-22,2018-06-30,False
429217,394838,School,United States,Nevada,,3,2015-01-27,2015-01-27,2016-06-30,False
502514,378405,School,United States,Kansas,,5,2015-03-14,2015-03-14,2016-06-30,False
519405,355995,School,United States,Florida,,3,2015-03-25,2015-03-25,2016-06-30,False
622127,387729,School,United States,Texas,,"K, 5",2015-05-14,2015-05-14,2016-06-30,False
624580,373187,School,,,,"4, 5",2015-05-15,2015-05-15,2016-06-30,False
632605,2996,School,United States,Illinois,,5,2015-05-18,2015-05-18,2016-06-30,False
716005,3280,School,United States,California,yes,3,2016-01-27,2016-01-27,2017-06-30,True
735110,1131,School,United States,Florida,,5,2015-06-25,2015-06-25,2016-06-30,True
744199,30,School,United States,Kansas,,3,2015-06-28,2015-06-28,2016-06-30,False
751118,351608,School,United States,Georgia,,"4, 5",2015-07-01,2015-07-01,2016-06-30,False
769935,351294,School,United States,Georgia,,4,2015-07-09,2015-07-09,2016-06-30,False
770731,351705,School,United States,Georgia,,4,2015-07-09,2015-07-09,2016-06-30,False
776354,1484,School,United States,New Jersey,,4,2015-07-12,2015-07-12,2016-06-30,False
816156,1158,School,United States,Oregon,yes,3,2015-08-04,2015-08-06,2016-06-30,True
818272,381844,School,United States,Mississippi,,4,2015-08-01,2015-10-27,2016-06-30,False
827010,1158,School,United States,Oregon,,3,2015-08-06,2015-10-07,2016-06-30,True
827011,1158,School,United States,Iowa,,3,2015-08-04,2015-09-16,2016-06-30,True
827556,2867,School,United States,Illinois,,3,2015-08-05,2016-09-06,2016-06-30,False
827557,2867,School,United States,Illinois,,3,2015-08-04,2016-05-19,2016-06-30,False
827558,2867,School,United States,Michigan,,3,2015-08-04,2016-05-10,2016-06-30,False
828358,2867,School,United States,Illinois,,5,2015-08-06,2016-01-08,2016-06-30,False
828813,2867,School,United States,Illinois,,4,2015-08-05,2015-08-13,2016-06-30,False
829005,2867,School,United States,Illinois,,4,2015-08-07,2016-05-12,2017-07-01,False
829149,2867,School,United States,Illinois,,4,2015-08-05,2015-08-11,2016-06-30,False
830079,2867,School,,,yes,5,2016-02-16,2016-02-16,2016-06-30,False
830534,875,School,United States,Illinois,,3,2015-08-05,2015-08-05,2016-06-30,False
830747,875,School,United States,Illinois,,3,2015-08-06,2015-08-06,2016-06-30,False
830748,875,School,United States,Illinois,,3,2015-08-06,2015-08-06,2016-06-30,False
830750,875,School,United States,Illinois,,2,2015-08-09,2015-08-09,2016-06-30,False
830763,397654,School,United States,California,,1,2015-08-24,2015-09-09,2017-06-30,False
833413,2867,School,,,yes,"3, 5",2016-02-11,2016-02-11,2016-06-30,False
833414,2867,School,,,transitioning,5,2016-01-08,2016-01-08,2016-06-30,False
833415,2867,School,United States,Illinois,,5,2015-08-11,2016-01-05,2016-06-30,True
837392,1158,School,United States,Oregon,,2,2015-08-09,2015-08-09,2016-06-30,False
837393,1158,School,United States,Missouri,,2,2015-08-09,2015-08-09,2016-06-30,False
838097,875,School,,,,2,2015-08-09,2016-02-12,2016-06-30,False
838686,875,School,United States,Illinois,,2,2015-08-10,2015-08-10,2016-06-30,False
838687,875,School,United States,Illinois,,2,2015-11-10,2016-06-02,2017-06-30,False
838688,875,School,United States,Illinois,,2,2015-08-10,2015-11-10,2016-06-30,False
839481,1158,School,United States,Oregon,,4,2015-08-10,2016-09-09,2016-06-30,False
840248,875,School,United States,Illinois,transitioning,"1, 2",2016-01-29,2016-01-29,2016-06-30,False
840472,373230,School,United States,Illinois,,2,2015-08-11,,2016-06-30,False
842947,385210,School,United States,Texas,,5,2015-08-11,2016-06-23,2016-06-30,False
844260,373230,School,United States,Illinois,,"4, 5",2015-08-11,2015-10-14,2017-06-30,False
845374,2996,School,United States,Illinois,,3,2015-08-12,2015-08-12,2016-06-30,False
845377,2996,School,United States,Illinois,,3,2015-08-12,2015-12-29,2016-06-30,False
845378,2996,School,United States,Illinois,,3,2015-08-11,2015-08-11,2016-06-30,False
845575,2996,School,United States,Illinois,,5,2015-08-11,2016-09-02,2016-06-30,False
845576,2996,School,United States,Illinois,,5,,,,False
845577,2996,School,United States,Illinois,,1,2017-01-31,2017-01-31,2017-06-30,False
845578,2996,School,United States,Illinois,,4,2015-08-12,2015-12-02,2016-06-30,False
845579,2996,School,United States,Illinois,not sure,4,2015-12-02,2015-12-02,2016-06-30,False
845580,2996,School,United States,Illinois,,4,2015-08-17,2015-09-01,2016-06-30,False
845614,2867,School,United States,Illinois,,"3, 4, 5",2015-08-11,2016-10-25,2016-06-30,False
848807,328421,School,,,,1,2015-08-12,2015-08-27,2017-06-30,False
848888,2996,School,United States,Illinois,,3,,,,False
850880,363715,School,United States,Indiana,,Upper,2015-08-13,2015-08-13,2016-06-30,False
855077,328603,School,United States,Oregon,,3,2015-08-12,2016-10-18,2016-06-30,False
858966,351729,School,United States,Georgia,,5,2015-08-13,2015-08-13,2016-06-30,True
860102,2996,School,United States,Illinois,,K,2015-08-12,2015-08-12,2017-06-30,False
860103,2996,School,United States,Illinois,,K,2015-08-12,2017-09-08,2017-06-30,False
860104,2996,School,United States,Illinois,,K,2015-08-13,2015-08-13,2017-06-30,False
861316,28914,School,,,,Upper,2015-08-12,2015-08-20,2016-06-30,False
861528,2996,School,United States,Illinois,,2,2015-08-16,,2016-06-30,False
861529,2996,School,United States,Illinois,,1,2015-08-13,2015-08-13,2017-06-30,False
861530,2996,School,United States,Illinois,,1,2015-08-13,,2017-06-30,False
862074,328421,School,United States,Oregon,,4,2015-08-12,2015-08-12,2016-06-30,False
862095,328421,School,United States,Oregon,,2,2015-08-13,2015-09-18,2017-07-01,False
866411,393017,School,United States,Arizona,,4,2015-08-13,2015-08-13,2016-06-30,False
866686,328421,School,United States,Oregon,,2,2015-08-13,2017-08-28,2016-06-30,False
866787,393017,School,United States,Arizona,,4,2015-08-13,2015-08-20,2016-06-30,False
866790,393017,School,United States,Arizona,,5,2015-08-13,2017-08-03,2016-06-30,False
868203,334067,School,,,,4,2015-09-10,2015-10-26,2016-06-30,False
868305,334067,School,United States,Vermont,,4,2015-08-13,2016-01-14,2016-06-30,False
868540,328421,School,United States,Oregon,,4,2015-08-31,2015-08-31,2018-06-30,False
870434,393017,School,United States,Arizona,,Upper,2015-08-13,2015-08-27,2016-06-30,False
870760,393017,School,United States,Arizona,,4,2015-08-13,2016-09-30,2016-06-30,False
870788,346271,School,United States,Virginia,,"3, 5",2015-08-13,2015-08-13,2016-06-30,False
873455,393304,School,United States,Arizona,yes,3,2017-01-29,2017-01-29,2017-06-30,False
873601,364057,School,United States,Indiana,,,2015-08-14,2015-08-14,2016-06-30,False
874336,385210,School,United States,Texas,,1,2015-08-14,2015-08-14,2017-06-30,False
874959,334067,School,United States,Vermont,,"2, 3",2015-08-14,2015-08-14,2016-06-30,False
877911,363715,School,United States,Indiana,no,Upper,2016-09-22,2016-11-04,2017-06-30,False
877912,363715,School,United States,Indiana,no,5,2016-09-23,2016-10-21,2017-06-30,False
879793,394537,School,United States,Nevada,transitioning,3,2017-09-22,,,False
880449,392260,School,United States,Utah,,K,2015-08-16,2017-04-11,2017-06-30,False
881032,1291,School,,,,2,2015-08-15,2015-08-29,2016-06-30,False
881033,1291,School,United States,Tennessee,,2,2015-08-14,2015-08-14,2016-06-30,False
881034,1291,School,United States,Tennessee,,2,2015-08-14,2015-08-27,2016-06-30,False
881289,334067,School,United States,Vermont,,3,2015-08-14,2015-08-22,2016-06-30,False
881502,1291,School,United States,Tennessee,,,2015-08-14,2015-08-27,2016-06-30,False
881926,352451,School,United States,Georgia,,1,2015-08-14,2015-08-14,2017-06-30,False
